gc|GorillaCraft v{0}
gorillashirtsfeb26|GorillaShirts v{0}
infowatch|GorillaInfoWatch v{0}
gorillachatbox|GorillaChatBox
dingus|NetworkedMaxwell
gpronouns|GorillaPronouns v{0}
gfaces|GorillaFaces v{0}
monkephone|MonkePhone v{0}
pmversion|PlayerModel v{0}
gtrials|GTrials v{0}
grateversion|Grate v{0}
bark|Bark v{0}
barkversion|Sakuraa-Bark v{0}
fps-nametags for zlothy|NametagsForZlothy v{0}
dtaoi|DamnThatsALotofInfo
dtasloi|DamnThatsAShitLoadofInfo
gphysversion|GPhys v{0}
currentsong|GorillaMedia
bingusnametags++|BingusNametags++ v{0}
monkeye mod checker|MonkeEyeModChecker v{0}
walksimulator|ZlothyWalkSimulator {0}
thatutilspadfree|ThatUtilsPadFree
